package_name,installed_version,architecture,latest_version
gnuplot,5.0.4+dfsg1-3,all,5.0.5+dfsg1-5
gnuplot-data,5.0.4+dfsg1-3,all,5.0.5+dfsg1-5
gnuplot-qt,5.0.4+dfsg1-3,amd64,5.0.5+dfsg1-5
gnuradio,3.7.10.1-1,amd64,3.7.10.1-2+b1
gnustep-base-common,1.24.9-3,all,1.24.9-3.1
gnustep-base-runtime,1.24.9-3,amd64,1.24.9-3.1
gnustep-common,2.6.8-2,amd64,2.6.8-2.1
golang,2:1.7~1,amd64,2:1.7~5
golang-1.7,1.7-3,all,1.7.4-1
golang-1.7-doc,1.7-3,all,1.7.4-1
golang-1.7-go,1.7-3,amd64,1.7.4-1
golang-1.7-src,1.7-3,amd64,1.7.4-1
golang-doc,2:1.7~1,all,2:1.7~5
golang-go,2:1.7~1,amd64,2:1.7~5
golang-go.tools,1:0.0~git20160315.0.f42ec61-2,amd64,1:0.0~git20161028.0.b814a3b+ds-3
golang-golang-x-tools,1:0.0~git20160315.0.f42ec61-2,amd64,1:0.0~git20161028.0.b814a3b+ds-3
golang-golang-x-tools-dev,1:0.0~git20160315.0.f42ec61-2,all,1:0.0~git20161028.0.b814a3b+ds-3
golang-src,2:1.7~1,amd64,2:1.7~5
gpgv,1.4.20-6,amd64,2.1.18-3
gqrx,2.3.0-0kali3+b3,amd64,2017.1.3
gr-fcdproplus,3.7.25.4b6464b-2+b1,amd64,3.7.25.4b6464b-2+b2
gr-iqbal,0.37.2-7+b1,amd64,0.37.2-7+b2
gr-osmosdr,0.1.4-11,amd64,0.1.4-12+b1
graphviz,2.38.0-14,amd64,2.38.0-16
greenbone-security-assistant,6.0.10-0kali1+b1,amd64,6.0.11+dfsg.1-2kali1
grep,2.25-6,amd64,2.27-2
greybird-gtk-theme,3.18.0+20160720.7b72fea.gtk320-1,all,3.22.0-1
grilo-plugins-0.3,0.3.2-1,amd64,0.3.3-1
groff-base,1.22.3-8,amd64,1.22.3-9
grub-common,2.02~beta2-36,amd64,2.02~beta3-4
grub-pc,2.02~beta2-36,amd64,2.02~beta3-4
grub-pc-bin,2.02~beta2-36,amd64,2.02~beta3-4
grub2-common,2.02~beta2-36,amd64,2.02~beta3-4
gsettings-desktop-schemas,3.20.0-3,all,3.22.0-1
gsfonts,1:8.11+urwcyr1.0.7~pre44-4.2,all,1:8.11+urwcyr1.0.7~pre44-4.3
gstreamer1.0-clutter-3.0,3.0.18-1,amd64,3.0.22-1
gstreamer1.0-libav,1.8.3-1,amd64,1.10.3-1
gstreamer1.0-plugins-bad,1.8.2-1+b2,amd64,1.10.3-1
gstreamer1.0-plugins-base,1.8.3-1,amd64,1.10.3-1
gstreamer1.0-plugins-good,1.8.3-1,amd64,1.10.3-1
gstreamer1.0-plugins-ugly,1.8.3-1,amd64,1.10.3-1
gstreamer1.0-pulseaudio,1.8.3-1,amd64,1.10.3-1
gstreamer1.0-x,1.8.3-1,amd64,1.10.3-1
gtk-update-icon-cache,3.20.9-1,amd64,3.22.7-2
gtk2-engines-pixbuf,2.24.30-4,amd64,2.24.31-2
gucharmap,1:9.0.0-1,amd64,1:9.0.2-1
guymager,0.7.4-2,amd64,0.8.3-1
gvfs,1.28.3-1,amd64,1.30.3-1
gvfs-backends,1.28.3-1,amd64,1.30.3-1
gvfs-bin,1.28.3-1,amd64,1.30.3-1
gvfs-common,1.28.3-1,all,1.30.3-1
gvfs-daemons,1.28.3-1,amd64,1.30.3-1
gvfs-fuse,1.28.3-1,amd64,1.30.3-1
gvfs-libs,1.28.3-1,amd64,1.30.3-1
hackrf,2015.07.2-10,amd64,2015.07.2-11
hashcat,3.00-3,amd64,3.30-1
hashcat-data,3.00-3,all,3.30-1
hashdeep,4.4-2,amd64,4.4-4
hdparm,9.48+ds-1,amd64,9.51+ds-1
hexinject,1.5-1kali4,amd64,1.6-0kali1
host,1:9.10.3.dfsg.P4-10.1,all,1:9.10.3.dfsg.P4-11
hunspell-en-us,20070829-6,all,20070829-7
